Ref,Val,Package,PosX,PosY,Rot,Side
"7660S1","~","SOIC-8_3.9x4.9mm_P1.27mm",238.929000,-107.091000,-90.000000,top
"C2","2.2uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",229.684000,-74.630000,-90.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",229.355000,-65.381000,-90.000000,top
"C8","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",223.957000,-54.687000,180.000000,top
"C18","68n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",219.953000,-110.023000,90.000000,top
"C19","220p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",229.385000,-114.819000,180.000000,top
"C20","120p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",229.385000,-108.421000,180.000000,top
"C21","120p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",224.115000,-112.709000,0.000000,top
"C22","270p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.786154,-99.455000,180.000000,top
"C23","560p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",206.731000,-99.455000,180.000000,top
"C24","1nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",217.835000,-103.759000,180.000000,top
"C27","100nF ","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",185.397000,-98.365000,180.000000,top
"C30","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",195.049000,-103.475000,0.000000,top
"C31","7pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.677000,-72.231000,90.000000,top
"C35","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.859000,-61.825000,90.000000,top
"C37","7pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",197.677000,-75.540334,-90.000000,top
"C38","68p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",199.959568,-106.539000,-90.000000,top
"C39","68p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",202.851846,-101.487000,180.000000,top
"C42","2u2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",205.472426,-114.095000,90.000000,top
"C43","2.2nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",210.495000,-114.325000,-90.000000,top
"C48","100nF ","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",247.555000,-95.767476,90.000000,top
"C50","1nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",213.923000,-103.759000,180.000000,top
"C51","100pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",215.955000,-101.951000,0.000000,top
"C58","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",229.355000,-68.937000,-90.000000,top
"C60","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",230.275000,-71.845000,0.000000,top
"C69","2u2F","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",243.021000,-89.057000,180.000000,top
"C73","68n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",233.153000,-112.533000,180.000000,top
"C75","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",244.345000,-104.463000,180.000000,top
"C78","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",229.863000,-78.589000,90.000000,top
"C81","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",225.843000,-89.051000,90.000000,top
"C89","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",199.913000,-110.229000,90.000000,top
"C90","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",229.377000,-106.389000,0.000000,top
"C103","2u2F","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",243.135000,-95.885000,180.000000,top
"C104","2u2F","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",185.426000,-89.325000,180.000000,top
"C105","2u2F","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",185.426000,-95.451000,180.000000,top
"D3","1N4148","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",240.937000,-99.981000,-90.000000,top
"D5","1N4148","D_1206_3216Metric_Pad1.42x1.75mm_HandSolder",234.875000,-77.744000,-90.000000,top
"D7","LED","LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm",197.258000,-114.137000,0.000000,top
"FB3","TDK MMZ1608R601ATD25 DB","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",244.545000,-92.493000,-90.000000,top
"FB4","TDK MMZ1608R601ATD25 DB","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",186.442000,-92.463000,-90.000000,top
"R4","500k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",233.353000,-110.313000,0.000000,top
"R5","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",229.185000,-110.351000,0.000000,top
"R6","5.76k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",229.185000,-112.539000,180.000000,top
"R7","5.76k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",224.315000,-110.663000,180.000000,top
"R8","240R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",218.007000,-105.741000,0.000000,top
"R9","240R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",213.723000,-105.741000,180.000000,top
"R11","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",217.391000,-110.175000,-90.000000,top
"R13","3k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",202.842136,-103.457000,180.000000,top
"R14","1.5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.931000,-103.457000,0.000000,top
"R17","604","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",202.911284,-114.125000,90.000000,top
"R18","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",208.254142,-114.125000,90.000000,top
"R26","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",224.315000,-114.713000,0.000000,top
"R27","5.6k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.031000,-96.641580,-90.000000,top
"R28","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",193.109000,-114.441000,-90.000000,top
"R30","11k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",203.486154,-96.599000,-90.000000,top
"R31","11k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",199.739568,-102.213846,90.000000,top
"R32","5.6k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.931000,-101.521000,0.000000,top
